E,N_global,error_linf,mlx_cpu_s,numpy_s,fortran_s
1,81,1.768189318063218e-05,0.009234582999999574,0.001368541999999806,0.000283
2,289,8.092492165268084e-08,0.027798499999999393,0.006874833000000358,0.001483
3,625,1.1917996589616564e-09,0.04809337500000055,0.011293666000000258,0.004728
4,1089,5.019429316632795e-11,0.04795195799999963,0.015176750000000183,0.008353
5,1681,8.2484019614526e-12,0.04458116700000048,0.01881308299999951,0.012785
6,2401,1.5087930904655877e-12,0.04713875000000023,0.02236816700000066,0.018933
7,3249,3.305133944309091e-13,0.04724941699999974,0.02978712500000036,0.025161
8,4225,9.35918009759007e-14,0.05508574999999993,0.03912133299999976,0.033625
9,5329,4.929390229335695e-14,0.06531316700000023,0.04723262500000036,0.042326
10,6561,6.927791673660977e-14,0.06691762500000031,0.05397033299999965,0.052055
