E,error_linf,mlx_cpu_s,numpy_s
5,2.1871393585115584e-13,0.0036248750000000274,0.0005978329999999921
6,2.0183854587685346e-13,0.00348754200000001,0.0007769170000000436
7,2.0694557179012918e-13,0.006675084000000275,0.0013997080000001105
8,2.525757381022231e-13,0.0069966249999997565,0.0020459999999999923
9,2.3381296898605797e-13,0.009287500000000115,0.0016952080000001146
10,2.552402733613235e-13,0.011618250000000607,0.0022720420000004182
11,2.1815882433884326e-13,0.010593040999999914,0.002502208000000117
12,2.6401103525586223e-13,0.01072287499999991,0.0022574589999999617
13,3.894662370385049e-13,0.009146209000000738,0.0021523329999997287
14,2.2526425169644426e-13,0.009115624999999739,0.002297542000000874
15,5.835332217429823e-13,0.005648084000000608,0.0016619999999996082
16,3.915756607852927e-13,0.00592916699999968,0.0015021659999998604
17,2.278177646530821e-13,0.006275207999999921,0.001744041999998558
18,2.9953817204386723e-13,0.006016167000000294,0.0020308749999990994
19,3.573807916268379e-13,0.009556250000001043,0.0028154169999989875
20,4.255484853388225e-13,0.010722375000000284,0.003650417000001127
