p,N_global,error_linf,mlx_cpu_s,numpy_s,pytorch_s,fortran_s
3,736,0.06255880439698325,0.0356314590000002,0.013350833000000506,0.034936042,0.010588
4,1281,0.012914278078393293,0.04173304199999972,0.018803249999999494,0.040956582999999824,0.010145
5,1976,0.002016019782433265,0.044911166000000335,0.01959537499999975,0.04550937499999996,0.017386
6,2821,0.0002773141007236246,0.04905770799999942,0.026562000000000197,0.04961179199999943,0.02336
7,3816,3.40327037048338e-05,0.047724999999999795,0.02631424999999954,0.10752612500000058,0.032372
8,4961,3.7195140668577764e-06,0.052899208000000364,0.04365187500000012,0.11917012499999924,0.041367
9,6256,3.8906396770954643e-07,0.05796204199999977,0.04488362499999976,0.11787283399999993,0.051785
10,7701,3.567900141998592e-08,0.06606970799999878,0.05544329200000142,0.127665833,0.066279
11,9296,3.250237468055417e-09,0.07058024999999901,0.05774954199999982,0.13344287500000007,0.079792
12,11041,2.582254410299356e-10,0.0814692920000013,0.06568779100000022,0.1418303329999997,0.097303
13,12936,2.0916879339694106e-11,0.08457541699999993,0.06850304199999968,0.14474425000000046,0.118092
14,14981,1.6360912624691082e-11,0.08722345799999864,0.06694249999999968,0.16422570800000003,0.14112
15,17176,1.2672973781491237e-11,0.08126091600000152,0.053523250000001354,0.1534980000000008,0.17069
