p,error_linf,mlx_cpu_s,numpy_s
3,0.00015678445001215957,0.0011439169999999943,0.00020783300000004612
5,1.8527236705923045e-07,0.0025073749999999784,0.0005177909999999897
7,1.6716505957248273e-10,0.002848874999999973,0.0005161660000000401
9,1.137423488728473e-13,0.002376375000000097,0.0005100409999999611
11,2.1871393585115584e-13,0.0026645830000000537,0.0005694589999999389
13,1.1408651801048109e-12,0.0029869590000000112,0.0006996659999999322
15,6.495581850174403e-12,0.003818416999999963,0.0008519999999999639
17,4.875777559476546e-11,0.006075209000000026,0.001020708999999953
19,4.773624384668551e-09,0.005764915999999953,0.0011164999999999647
21,1.548003669693543e-08,0.004399125000000059,0.0012498330000000335
23,1.6322439666538457e-07,0.004631249999999976,0.0012867920000000366
25,4.7325808993914364e-07,0.005443207999999977,0.0014867500000000922
27,2.2980883644385663e-05,0.00498299999999996,0.001296709000000007
29,0.00011721166549383266,0.005166915999999966,0.0013562910000000095
31,0.00032937755677053815,0.005110667000000069,0.0015319169999999938
33,0.0017028689312211798,0.005388582999999891,0.0014812079999999561
35,0.9468629805965653,0.005198291999999993,0.0013424169999999291
37,nan,0.005110749999999942,0.001601625000000051
39,nan,0.00480212499999999,0.0014905829999999343
41,nan,0.004747457999999982,0.0017837920000000063
