p,N_global,error_linf,numpy_s,pytorch_s,mlx_cpu_s
3,8281,2.080393874548392e-05,0.0011839866638183594,0.002176046371459961,0.7751729488372803
4,14641,1.0426216040526626e-06,0.07339978218078613,0.003860950469970703,0.8741791248321533
5,22801,1.1482438111443116e-08,0.07223296165466309,0.0080718994140625,0.877551794052124
6,32761,4.652387364245669e-10,0.08022499084472656,0.02286696434020996,0.8718662261962891
7,44521,4.615197113366776e-12,0.08352899551391602,0.08110213279724121,0.9176928997039795
8,58081,1.6697754290362354e-13,0.09781599044799805,0.11343097686767578,0.8770208358764648
9,73441,3.097522238704187e-14,0.10688900947570801,0.14644312858581543,0.8863098621368408
10,90601,6.039613253960852e-14,0.12749123573303223,0.19315719604492188,0.8942358493804932
11,109561,3.7414515929867775e-14,0.1433579921722412,0.22712016105651855,0.8639576435089111
12,130321,1.1857181902996672e-13,0.1753091812133789,0.27825284004211426,0.8657729625701904
13,152881,9.958700530887654e-14,0.18724465370178223,0.33652186393737793,0.8843741416931152
14,177241,8.881784197001252e-14,0.1969010829925537,0.5024869441986084,0.8426389694213867
15,203401,1.9917401061775308e-13,0.18421697616577148,0.5243661403656006,0.8477070331573486
