# Armaly et al., JFM 127 (1983) 473-496 -- PREDICTED (TEACH FD code)
# primary reattachment length x1, normalised by STEP height S = 4.9 mm
# Re = V*2h/nu, V = average inlet velocity, h = inlet height 5.2 mm
# pixel-extracted at 600 dpi by reference/armaly_digitize.py
# 2-D flow only for Re < 400 (paper p.474)
Re,x1_over_S
29.58,1.2744
30.23,1.3014
30.89,1.3014
31.55,1.3217
32.20,1.3217
32.86,1.3758
33.52,1.3758
34.18,1.5042
34.83,1.5042
35.49,1.5245
36.15,1.5245
36.80,1.5515
37.46,1.5515
38.12,1.5921
38.78,1.5921
39.43,1.6259
40.09,1.6259
40.75,1.6462
41.41,1.6462
42.06,1.6530
42.72,1.6530
43.38,1.6732
44.03,1.6732
44.69,1.7003
45.35,1.7003
46.01,1.8693
46.66,1.8693
47.32,1.8896
47.98,1.8896
48.63,1.9031
49.29,1.9031
49.95,1.9234
50.61,1.9234
51.26,1.9437
51.92,1.9437
52.58,1.9707
53.24,1.9707
53.89,2.0045
54.55,2.0045
55.21,2.0451
55.86,2.0451
56.52,2.0721
57.18,2.0721
57.84,2.1059
58.49,2.1059
59.15,2.1262
59.81,2.1262
60.47,2.1735
61.12,2.1735
61.78,2.2073
62.44,2.2073
63.09,2.2411
63.75,2.2411
64.41,2.2817
65.07,2.2817
65.72,2.3155
66.38,2.3155
67.04,2.3425
67.69,2.3425
68.35,2.3763
69.01,2.3763
69.67,2.4169
70.32,2.4169
70.98,2.4372
71.64,2.4372
72.30,2.4777
72.95,2.4777
73.61,2.5115
74.27,2.5115
74.92,2.5386
75.58,2.5386
76.24,2.5656
76.90,2.5656
77.55,2.6062
78.21,2.6062
78.87,2.6332
79.52,2.6332
80.18,2.6670
80.84,2.6670
81.50,2.6941
82.15,2.6941
82.81,2.7211
83.47,2.7211
84.13,2.7549
84.78,2.7549
85.44,2.7752
86.10,2.7752
86.75,2.7887
87.41,2.7887
88.07,2.8361
88.73,2.8361
89.38,2.8766
90.04,2.8766
90.70,2.8969
91.35,2.8969
92.01,2.9239
92.67,2.9239
93.33,2.9645
93.98,2.9645
94.64,2.9848
95.30,2.9848
95.96,3.0051
96.61,3.0051
97.27,3.0389
97.93,3.0389
98.58,3.0727
99.24,3.0727
99.90,3.0997
100.56,3.0997
101.21,3.1335
101.87,3.1335
102.53,3.1673
103.19,3.1673
103.84,3.1944
104.50,3.1944
105.16,3.2146
105.81,3.2146
106.47,3.2417
107.13,3.2417
107.79,3.2687
108.44,3.2687
109.10,3.3025
109.76,3.3025
110.41,3.3296
111.07,3.3296
111.73,3.3566
112.39,3.3566
113.04,3.3769
113.70,3.3769
114.36,3.4107
115.02,3.4107
115.67,3.4377
116.33,3.4377
116.99,3.4715
117.64,3.4715
118.30,3.4986
118.96,3.4986
119.62,3.5256
120.27,3.5256
120.93,3.5459
121.59,3.5459
122.24,3.5797
122.90,3.5797
123.56,3.6068
124.22,3.6068
124.87,3.6338
125.53,3.6338
126.19,3.6608
126.85,3.6608
127.50,3.6811
128.16,3.6811
128.82,3.7082
129.47,3.7082
130.13,3.7352
130.79,3.7352
131.45,3.7623
132.10,3.7623
132.76,3.7825
133.42,3.7825
134.07,3.8096
134.73,3.8096
135.39,3.8299
136.05,3.8299
136.70,3.8501
137.36,3.8501
138.02,3.8839
138.68,3.8839
139.33,3.9110
139.99,3.9110
140.65,3.9313
141.30,3.9313
141.96,3.9583
142.62,3.9583
143.28,3.9854
143.93,3.9854
144.59,4.0192
145.25,4.0192
145.90,4.0597
146.56,4.0597
147.22,4.0868
147.88,4.0868
148.53,4.1206
149.19,4.1206
149.85,4.1341
150.51,4.1341
