# Armaly et al., JFM 127 (1983) 473-496 -- MEASURED (laser-Doppler)
# primary reattachment length x1, normalised by STEP height S = 4.9 mm
# Re = V*2h/nu, V = average inlet velocity, h = inlet height 5.2 mm
# pixel-extracted at 600 dpi by reference/armaly_digitize.py
# 2-D flow only for Re < 400 (paper p.474)
Re,x1_over_S
92.01,3.0463
94.43,3.0463
96.85,3.0220
99.27,3.0220
101.69,3.0342
104.12,3.0342
106.54,3.0220
108.96,3.0220
111.38,3.0220
113.80,3.0220
116.22,3.0220
118.64,3.0220
121.07,3.0220
123.49,3.0220
125.91,3.0220
128.33,3.0220
130.75,3.0584
133.17,3.0584
135.59,3.1432
138.01,3.1432
140.44,3.2522
142.86,3.2522
145.28,3.4096
147.70,3.4096
150.12,3.6156
152.54,3.6156
154.96,3.7488
157.38,3.7488
159.81,3.8699
162.23,3.8699
164.65,3.9426
167.07,3.9426
169.49,4.0274
171.91,4.0274
174.33,4.0758
176.76,4.0758
179.18,4.1364
181.60,4.1364
184.02,4.2091
186.44,4.2091
188.86,4.3423
191.28,4.3423
193.70,4.4755
196.13,4.4755
198.55,4.6209
200.97,4.6209
203.39,4.7905
205.81,4.7905
208.23,4.8995
210.65,4.8995
213.08,4.9964
215.50,4.9964
217.92,5.0933
220.34,5.0933
222.76,5.2023
225.18,5.2023
227.60,5.2871
230.02,5.2871
232.45,5.3961
234.87,5.3961
237.29,5.4809
239.71,5.4809
242.13,5.6020
244.55,5.6020
246.97,5.6868
249.39,5.6868
251.82,5.7837
254.24,5.7837
256.66,5.8806
259.08,5.8806
261.50,5.9654
263.92,5.9654
266.34,6.0623
268.77,6.0623
271.19,6.1592
273.61,6.1592
276.03,6.2682
278.45,6.2682
280.87,6.3893
283.29,6.3893
285.71,6.4499
288.14,6.4499
290.56,6.5225
292.98,6.5225
295.40,6.5589
297.82,6.5589
300.24,6.5952
302.66,6.5952
305.08,6.6437
307.51,6.6437
309.93,6.6800
312.35,6.6800
314.77,6.7284
317.19,6.7284
319.61,6.7648
322.03,6.7648
324.46,6.8132
326.88,6.8132
329.30,7.0312
331.72,7.0312
334.14,7.1524
336.56,7.1524
338.98,7.2493
341.40,7.2493
343.83,7.4310
346.25,7.4310
348.67,7.5157
351.09,7.5157
353.51,7.6005
355.93,7.6005
358.35,7.6974
360.77,7.6974
363.20,7.7701
365.62,7.7701
368.04,7.8670
370.46,7.8670
372.88,7.9033
375.30,7.9033
377.72,7.9155
380.15,7.9155
382.57,7.9760
384.99,7.9760
387.41,8.0487
389.83,8.0487
392.25,8.0002
394.67,8.0002
397.09,7.8670
399.52,7.8670
401.94,8.0850
404.36,8.0850
406.78,8.1335
409.20,8.1335
411.62,8.1698
414.04,8.1698
416.46,7.8791
418.89,7.8791
421.31,8.6422
423.73,8.6422
426.15,8.7028
428.57,8.7028
430.99,8.3152
433.41,8.3152
435.84,8.0245
438.26,8.0245
440.68,8.2062
443.10,8.2062
445.52,8.4484
447.94,8.4484
450.36,8.7270
452.78,8.7270
455.21,9.2236
457.63,9.2236
460.05,9.5870
462.47,9.5870
464.89,9.8534
467.31,9.8534
469.73,10.1320
472.15,10.1320
474.58,10.3137
477.00,10.3137
479.42,10.3985
481.84,10.3985
484.26,10.1684
486.68,10.1684
489.10,10.8345
491.53,10.8345
493.95,11.1979
496.37,11.1979
498.79,11.5128
501.21,11.5128
503.63,11.8762
506.05,11.8762
508.47,12.0942
510.90,12.0942
513.32,12.3123
515.74,12.3123
518.16,12.5424
520.58,12.5424
523.00,12.7362
525.42,12.7362
