# Brachet, Meiron, Orszag, Nickel, Morf & Frisch (1983) JFM 130:411, Fig. 7
# Taylor-Green vortex, R = 800 curve; spectral DNS, 256^3 (k_max = 84).
# eps(t) = 2 nu Omega_1(t), Omega_1 = (1/2)<|omega|^2> volume mean; u0 = L = 1.
# Digitised 2026-08-24 by pixel trace of the author's reprint scan (600 dpi):
# reference/brachet_1983_tgv.pdf p.430.  Traced forward from the exact t=0
# anchor eps(0) = 0.75/800 and backward from the labelled right-edge position,
# stitched inside the span where the two traces agree to <4 px; overlay
# verification in reference/brachet_digitize_check.png (red).
t,eps_800
0.0000,0.000923
0.0500,0.000923
0.1000,0.000923
0.1500,0.000933
0.2000,0.000932
0.2500,0.000943
0.3000,0.000942
0.3500,0.000961
0.4000,0.000970
0.4500,0.000970
0.5000,0.000961
0.5500,0.000970
0.6000,0.000972
0.6500,0.000979
0.7000,0.000979
0.7500,0.000989
0.8000,0.000998
0.8500,0.001007
0.9000,0.001011
0.9500,0.001026
1.0000,0.001036
1.0500,0.001040
1.1000,0.001054
1.1500,0.001069
1.2000,0.001082
1.2500,0.001082
1.3000,0.001111
1.3500,0.001120
1.4000,0.001135
1.4500,0.001148
1.5000,0.001163
1.5500,0.001186
1.6000,0.001201
1.6500,0.001223
1.7000,0.001242
1.7500,0.001261
1.8000,0.001279
1.8500,0.001305
1.9000,0.001317
1.9500,0.001354
2.0000,0.001373
2.0500,0.001410
2.1000,0.001428
2.1500,0.001456
2.2000,0.001493
2.2500,0.001523
2.3000,0.001569
2.3500,0.001588
2.4000,0.001635
2.4500,0.001663
2.5000,0.001720
2.5500,0.001748
2.6000,0.001776
2.6500,0.001824
2.7000,0.001870
2.7500,0.001908
2.8000,0.001955
2.8500,0.002001
2.9000,0.002049
2.9500,0.002089
3.0000,0.002143
3.0500,0.002193
3.1000,0.002247
3.1500,0.002303
3.2000,0.002353
3.2500,0.002416
3.3000,0.002473
3.3500,0.002532
3.4000,0.002604
3.4500,0.002664
3.5000,0.002726
3.5500,0.002805
3.6000,0.002890
3.6500,0.002947
3.7000,0.003027
3.7500,0.003121
3.8000,0.003192
3.8500,0.003304
3.9000,0.003409
3.9500,0.003511
4.0000,0.003605
4.0500,0.003709
4.1000,0.003824
4.1500,0.003944
4.2000,0.004066
4.2500,0.004198
4.3000,0.004348
4.3500,0.004470
4.4000,0.004607
4.4500,0.004752
4.5000,0.004893
4.5500,0.005059
4.6000,0.005222
4.6500,0.005370
4.7000,0.005511
4.7500,0.005636
4.8000,0.005803
4.8500,0.005963
4.9000,0.006086
4.9500,0.006227
5.0000,0.006359
5.0500,0.006491
5.1000,0.006585
5.1500,0.006697
5.2000,0.006810
5.2500,0.006913
5.3000,0.007007
5.3500,0.007101
5.4000,0.007177
5.4500,0.007242
5.5000,0.007319
5.5500,0.007392
5.6000,0.007460
5.6500,0.007535
5.7000,0.007611
5.7500,0.007667
5.8000,0.007724
5.8500,0.007787
5.9000,0.007868
5.9500,0.007931
6.0000,0.008007
6.0500,0.008078
6.1000,0.008134
6.1500,0.008196
6.2000,0.008270
6.2500,0.008341
6.3000,0.008402
6.3500,0.008473
6.4000,0.008543
6.4500,0.008610
6.5000,0.008670
6.5500,0.008727
6.6000,0.008802
6.6500,0.008874
6.7000,0.008943
6.7500,0.009008
6.8000,0.009081
6.8500,0.009149
6.9000,0.009199
6.9500,0.009270
7.0000,0.009317
7.0500,0.009366
7.1000,0.009403
7.1500,0.009458
7.2000,0.009496
7.2500,0.009535
7.3000,0.009573
7.3500,0.009620
7.4000,0.009686
7.4500,0.009761
7.5000,0.009836
7.5500,0.009939
7.6000,0.010034
7.6500,0.010156
7.7000,0.010278
7.7500,0.010391
7.8000,0.010552
7.8500,0.010690
7.9000,0.010775
7.9500,0.010911
8.0000,0.011049
8.0500,0.011162
8.1000,0.011256
8.1500,0.011359
8.2000,0.011440
8.2500,0.011201
8.3000,0.011342
8.3500,0.011464
8.4000,0.011667
8.4500,0.011790
8.5000,0.011817
8.5500,0.011846
8.6000,0.011879
8.6500,0.011898
8.7000,0.011926
8.7500,0.011935
8.8000,0.011954
8.8500,0.011958
8.9000,0.011973
8.9500,0.011967
9.0000,0.011963
9.0500,0.011948
9.1000,0.011923
9.1500,0.011873
9.2000,0.011791
9.2500,0.011735
9.3000,0.011631
9.3500,0.011505
9.4000,0.011406
9.4500,0.011283
9.5000,0.011161
9.5500,0.011033
9.6000,0.010917
9.6500,0.010804
9.7000,0.010700
9.7500,0.010597
9.8000,0.010494
9.8500,0.010492
9.9000,0.010492
9.9500,0.010492
10.0000,0.010492
