# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
-0.49389,-4.90043
-0.49294,-4.88815
-0.49200,-4.87552
-0.49106,-4.86255
-0.49012,-4.84924
-0.48918,-4.83562
-0.48824,-4.8217
-0.48730,-4.80748
-0.48636,-4.79299
-0.48542,-4.77823
-0.48448,-4.76321
-0.48354,-4.74795
-0.48260,-4.73247
-0.48166,-4.71677
-0.48071,-4.70086
-0.47977,-4.68476
-0.47883,-4.66849
-0.47789,-4.65204
-0.47695,-4.63545
-0.47601,-4.61871
-0.47507,-4.60184
-0.47413,-4.58485
-0.47319,-4.56776
-0.47225,-4.55058
-0.47131,-4.53332
-0.47037,-4.51599
-0.46943,-4.49861
-0.46849,-4.48119
-0.46754,-4.46373
-0.46660,-4.44626
-0.46566,-4.42879
-0.46472,-4.41132
-0.46378,-4.39388
-0.46284,-4.37646
-0.46190,-4.3591
-0.46096,-4.34179
-0.46002,-4.32455
-0.45908,-4.30739
-0.45814,-4.29033
-0.45720,-4.27338
-0.45626,-4.25654
-0.45532,-4.24
-0.45437,-4.22415
-0.45343,-4.20863
-0.45249,-4.1943
-0.45155,-4.17948
-0.45061,-4.16498
-0.44967,-4.14832
-0.44873,-4.13181
-0.44779,-4.11521
-0.44685,-4.09859
-0.44591,-4.08282
-0.44497,-4.06774
-0.44403,-4.0531
-0.44309,-4.03896
-0.44214,-4.02455
-0.44120,-4.00966
-0.44026,-3.99469
-0.43932,-3.98047
-0.43838,-3.96886
-0.43744,-3.95854
-0.43650,-3.94934
-0.43556,-3.94355
-0.43462,-3.93506
-0.43368,-3.92677
-0.43274,-3.91845
-0.43180,-3.90985
-0.43086,-3.90206
-0.42992,-3.89526
-0.42897,-3.88936
-0.42803,-3.88454
-0.42709,-3.88069
-0.42615,-3.87825
-0.42521,-3.87215
-0.42427,-3.86655
-0.42333,-3.85936
-0.42239,-3.85232
-0.42145,-3.84443
-0.42051,-3.83704
-0.41957,-3.82869
-0.41863,-3.82008
-0.41769,-3.81169
