# Gartling (1990) BFS benchmark, Re = 800, digitised from Chan & Mittal
# fig.3; station x = 7; interpolated to a uniform y grid
y,u,v,omega
-0.5000,0.0500201,-0.000122871,-4.90043
-0.4950,0.0500201,-0.000145563,-4.90043
-0.4900,0.0727038,-0.000194646,-4.84747
-0.4850,0.0989883,-0.00026391,-4.77154
-0.4800,0.122492,-0.000353987,-4.68863
-0.4750,0.143782,-0.000465477,-4.60056
-0.4700,0.163427,-0.000597998,-4.50921
-0.4650,0.182017,-0.000752282,-4.41648
-0.4600,0.200124,-0.000928772,-4.3242
-0.4550,0.2191,-0.00112714,-4.23469
-0.4500,0.240371,-0.00134823,-4.15415
-0.4450,0.264402,-0.00158597,-4.06826
-0.4400,0.289488,-0.00184992,-3.99071
-0.4350,0.312031,-0.00214157,-3.9385
-0.4300,0.332948,-0.00246612,-3.89588
-0.4250,0.350233,-0.00282148,-3.87089
-0.4200,0.367663,-0.00321281,-3.83253
-0.4150,0.389225,-0.00363027,-3.788
-0.4100,0.409965,-0.00406479,-3.74726
-0.4050,0.429908,-0.00451771,-3.71531
-0.4000,0.445447,-0.00498228,-3.69683
-0.3950,0.456529,-0.00546206,-3.68667
-0.3900,0.470259,-0.00596849,-3.67371
-0.3850,0.486169,-0.0064897,-3.65725
-0.3800,0.50751,-0.00702147,-3.64486
-0.3750,0.53015,-0.00755646,-3.63091
-0.3700,0.553304,-0.00807571,-3.61874
-0.3650,0.574614,-0.00859666,-3.61085
-0.3600,0.592785,-0.0091128,-3.61117
-0.3550,0.609386,-0.00963399,-3.60612
-0.3500,0.621681,-0.0101483,-3.60105
-0.3450,0.641153,-0.0106667,-3.58441
-0.3400,0.660431,-0.0111962,-3.56066
-0.3350,0.680049,-0.0117109,-3.53337
-0.3300,0.698247,-0.0122139,-3.50504
-0.3250,0.713047,-0.0127173,-3.48377
-0.3200,0.727507,-0.0132005,-3.4575
-0.3150,0.743754,-0.0136528,-3.42613
-0.3100,0.762016,-0.0140713,-3.38848
-0.3050,0.781688,-0.0144571,-3.34592
-0.3000,0.801148,-0.0148308,-3.30254
-0.2950,0.817913,-0.0151924,-3.25907
