# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = u
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,u
-0.49388,0.0500201
-0.49294,0.0557283
-0.49200,0.061305
-0.49105,0.066754
-0.49011,0.0720792
-0.48917,0.0772844
-0.48823,0.0823736
-0.48729,0.0873505
-0.48635,0.0922191
-0.48540,0.0969831
-0.48446,0.101646
-0.48352,0.106213
-0.48258,0.110687
-0.48164,0.115071
-0.48070,0.11937
-0.47976,0.123588
-0.47881,0.127729
-0.47787,0.131795
-0.47693,0.135792
-0.47599,0.139723
-0.47505,0.143592
-0.47411,0.147402
-0.47316,0.151158
-0.47222,0.154864
-0.47128,0.158523
-0.47034,0.162139
-0.46940,0.165716
-0.46846,0.169258
-0.46751,0.172769
-0.46657,0.176252
-0.46563,0.179712
-0.46469,0.183152
-0.46375,0.186576
-0.46281,0.189988
-0.46186,0.193392
-0.46092,0.196792
-0.45998,0.200192
-0.45904,0.203595
-0.45810,0.207005
-0.45716,0.210426
-0.45621,0.213862
-0.45527,0.21795
-0.45433,0.221917
-0.45339,0.225912
-0.45245,0.229947
-0.45151,0.234003
-0.45056,0.237693
-0.44962,0.242157
-0.44868,0.246492
-0.44774,0.251025
-0.44680,0.255711
-0.44586,0.260222
-0.44492,0.264815
-0.44397,0.269528
-0.44303,0.274179
-0.44209,0.279025
-0.44115,0.28374
-0.44021,0.288472
-0.43927,0.293093
-0.43832,0.297475
-0.43738,0.3017
-0.43644,0.306002
-0.43550,0.309845
-0.43456,0.313969
-0.43362,0.317984
-0.43267,0.321985
-0.43173,0.325809
-0.43079,0.329661
-0.42985,0.333574
-0.42891,0.337561
-0.42797,0.341482
-0.42702,0.345322
-0.42608,0.347575
-0.42514,0.349879
-0.42420,0.352238
-0.42326,0.355096
-0.42232,0.358086
-0.42137,0.361865
-0.42043,0.365797
-0.41949,0.369853
-0.41855,0.373904
-0.41761,0.378022
-0.41667,0.382103
-0.41573,0.386216
-0.41478,0.390123
-0.41384,0.394033
-0.41290,0.397818
-0.41196,0.401743
-0.41102,0.405655
-0.41008,0.409652
-0.40913,0.413567
-0.40819,0.417443
-0.40725,0.421214
-0.40631,0.424976
-0.40537,0.428545
-0.40443,0.432039
-0.40348,0.435402
-0.40254,0.438607
-0.40160,0.441305
-0.40066,0.443855
-0.39972,0.446129
-0.39878,0.44839
-0.39783,0.449825
-0.39689,0.451986
-0.39595,0.454148
-0.39501,0.456504
-0.39407,0.459072
-0.39313,0.461739
-0.39218,0.464338
-0.39124,0.467077
-0.39030,0.469457
-0.38936,0.471965
-0.38842,0.474026
-0.38748,0.477194
-0.38653,0.480449
-0.38559,0.483889
-0.38465,0.487508
-0.38371,0.491449
-0.38277,0.495486
-0.38183,0.499591
-0.38089,0.503724
-0.37994,0.507752
-0.37900,0.511814
-0.37806,0.516042
-0.37712,0.52044
-0.37618,0.52477
-0.37524,0.52901
-0.37429,0.53357
-0.37335,0.537827
-0.37241,0.542297
-0.37147,0.546653
-0.37053,0.550922
-0.36959,0.555175
-0.36864,0.559301
-0.36770,0.563334
-0.36676,0.567333
-0.36582,0.571217
-0.36488,0.575121
-0.36394,0.578898
-0.36299,0.582644
-0.36205,0.585887
-0.36111,0.589128
-0.36017,0.592177
-0.35923,0.595553
-0.35829,0.598792
-0.35734,0.602047
-0.35640,0.60513
-0.35546,0.608277
-0.35452,0.610541
-0.35358,0.612676
-0.35264,0.614813
-0.35169,0.616876
-0.35075,0.618847
-0.34981,0.62239
-0.34887,0.626052
-0.34793,0.629762
