# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = v
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,v
-0.49859,-0.000122871
-0.49671,-0.000133411
-0.49483,-0.000146801
-0.49294,-0.000163058
-0.49106,-0.000182196
-0.48918,-0.000204231
-0.48730,-0.000229178
-0.48542,-0.000257053
-0.48354,-0.000287871
-0.48166,-0.000321647
-0.47977,-0.000358397
-0.47789,-0.000398136
-0.47601,-0.00044088
-0.47413,-0.000486643
-0.47225,-0.000535441
-0.47037,-0.00058729
-0.46849,-0.000642205
-0.46660,-0.000700201
-0.46472,-0.000761293
-0.46284,-0.000825498
-0.46096,-0.00089283
-0.45908,-0.000963304
-0.45720,-0.00103694
-0.45532,-0.00111374
-0.45343,-0.00119374
-0.45155,-0.00127694
-0.44967,-0.00136335
-0.44779,-0.00145122
-0.44591,-0.00153955
-0.44403,-0.00163575
-0.44214,-0.00173142
-0.44026,-0.00183536
-0.43838,-0.00193937
-0.43650,-0.0020514
-0.43462,-0.00216447
-0.43274,-0.00228564
-0.43086,-0.00240719
-0.42897,-0.00253672
-0.42709,-0.00266747
-0.42521,-0.00280562
-0.42333,-0.00294662
-0.42145,-0.00309638
-0.41957,-0.00324759
-0.41769,-0.00340558
-0.41580,-0.00356106
-0.41392,-0.00372296
-0.41204,-0.00388372
-0.41016,-0.00405057
-0.40828,-0.0042179
-0.40640,-0.00439067
-0.40452,-0.00456177
-0.40263,-0.00473812
-0.40075,-0.00491082
-0.39887,-0.00508946
-0.39699,-0.00526575
-0.39511,-0.00545149
-0.39323,-0.0056354
-0.39135,-0.00583111
-0.38946,-0.00602325
-0.38758,-0.0062194
-0.38570,-0.00641546
-0.38382,-0.00661477
-0.38194,-0.00681346
-0.38006,-0.00701545
-0.37817,-0.00721635
-0.37629,-0.00742034
-0.37441,-0.00761833
-0.37253,-0.00781825
-0.37065,-0.00800865
-0.36877,-0.00820304
-0.36689,-0.00839691
-0.36500,-0.00859619
-0.36312,-0.0087858
-0.36124,-0.00898279
-0.35936,-0.00917977
-0.35748,-0.00938058
-0.35560,-0.00957213
-0.35372,-0.00976696
-0.35183,-0.00995799
-0.34995,-0.0101532
-0.34807,-0.0103451
-0.34619,-0.0105438
-0.34431,-0.0107381
-0.34243,-0.0109403
-0.34055,-0.0111385
-0.33866,-0.0113372
-0.33678,-0.0115281
-0.33490,-0.0117211
-0.33302,-0.0119114
-0.33114,-0.0121013
-0.32926,-0.0122874
-0.32738,-0.0124803
-0.32549,-0.0126679
-0.32361,-0.0128561
-0.32173,-0.0130365
-0.31985,-0.0132147
-0.31797,-0.0133865
-0.31609,-0.0135576
-0.31421,-0.0137224
-0.31232,-0.0138892
-0.31044,-0.0140359
-0.30856,-0.0141866
-0.30668,-0.0143297
-0.30480,-0.0144725
-0.30292,-0.0146136
-0.30103,-0.0147559
-0.29915,-0.0148921
-0.29727,-0.0150348
-0.29539,-0.0151649
-0.29351,-0.0152972
-0.29163,-0.0154203
-0.28975,-0.0155468
-0.28786,-0.0156667
-0.28598,-0.0157895
-0.28410,-0.0159073
-0.28222,-0.0160266
-0.28034,-0.0161402
-0.27846,-0.0162558
-0.27658,-0.0163661
-0.27469,-0.0164772
-0.27281,-0.0165832
-0.27093,-0.0166875
-0.26905,-0.0167862
-0.26717,-0.0168838
-0.26529,-0.0169751
-0.26341,-0.017069
-0.26152,-0.017157
-0.25964,-0.0172462
-0.25776,-0.017329
-0.25588,-0.0174109
-0.25400,-0.0174858
-0.25212,-0.0175613
-0.25024,-0.01763
-0.24835,-0.0177013
-0.24647,-0.0177659
-0.24459,-0.0178317
-0.24271,-0.0178914
-0.24083,-0.017952
-0.23895,-0.0180168
-0.23706,-0.0180837
-0.23518,-0.018143
-0.23330,-0.0182007
-0.23142,-0.0182509
-0.22954,-0.0182992
-0.22766,-0.0183376
-0.22578,-0.018374
-0.22389,-0.0184058
-0.22201,-0.0184398
-0.22013,-0.0184712
-0.21825,-0.0185083
-0.21637,-0.0185416
-0.21449,-0.0185714
-0.21261,-0.0185996
-0.21072,-0.0186332
-0.20884,-0.0186678
-0.20696,-0.0186976
-0.20508,-0.0187374
-0.20320,-0.0187796
-0.20132,-0.0188162
-0.19944,-0.01885
-0.19755,-0.0188828
-0.19567,-0.0189114
-0.19379,-0.0189308
-0.19191,-0.0189472
-0.19003,-0.0189481
-0.18815,-0.0189471
-0.18627,-0.0189448
-0.18438,-0.0189438
-0.18250,-0.0189426
-0.18062,-0.0189366
-0.17874,-0.0189287
-0.17686,-0.0189155
-0.17498,-0.0189009
-0.17310,-0.0188822
-0.17121,-0.0188601
-0.16933,-0.0188362
-0.16745,-0.018808
-0.16557,-0.018776
-0.16369,-0.0187452
-0.16181,-0.0187091
-0.15992,-0.0186707
-0.15804,-0.0186421
-0.15616,-0.018617
-0.15428,-0.0185902
-0.15240,-0.0185632
-0.15052,-0.0185273
-0.14864,-0.0184895
-0.14675,-0.0184464
-0.14487,-0.0184014
-0.14299,-0.0183587
-0.14111,-0.0183146
-0.13923,-0.0182704
-0.13735,-0.018227
-0.13547,-0.0181813
-0.13358,-0.0181379
-0.13170,-0.0180903
-0.12982,-0.0180443
-0.12794,-0.0179945
-0.12606,-0.0179399
-0.12418,-0.0178817
-0.12230,-0.0178208
-0.12041,-0.0177562
-0.11853,-0.0176935
-0.11665,-0.0176269
-0.11477,-0.0175646
-0.11289,-0.0174983
-0.11101,-0.0174347
-0.10913,-0.0173666
-0.10724,-0.0172975
-0.10536,-0.0172244
-0.10348,-0.0171669
-0.10160,-0.0171043
-0.09972,-0.0170364
-0.09784,-0.016964
-0.09595,-0.0168939
-0.09407,-0.0168197
-0.09219,-0.016746
-0.09031,-0.0166682
-0.08843,-0.0165765
-0.08655,-0.0164714
-0.08467,-0.0163696
-0.08278,-0.0162655
-0.08090,-0.0161611
-0.07902,-0.0160548
-0.07714,-0.0159475
-0.07526,-0.0158422
-0.07338,-0.0157367
-0.07150,-0.0156289
-0.06961,-0.0155233
-0.06773,-0.015414
-0.06585,-0.0153066
-0.06397,-0.0151977
-0.06209,-0.0150896
-0.06021,-0.0149777
