# Gourianov et al. (2022) arXiv:2106.05782v3, Fig. 3b
# 3-D Taylor-Green vortex, Re = 800; DNS is 256^3, 8th-order FD
# + RK2 + Chorin projection.  Column values are the energy
# dissipation eps(t) normalised by E0/T0, E0 the initial kinetic
# energy and T0 = Lbox/u0.  Extracted from the PDF vector paths
# by reference/gourianov_digitize.py -- not by pixel analysis.
t_over_T0,DNS_256,MPS_chi192,MPS_chi128,MPS_chi96
0.0000,0.0472,0.0479,0.0479,0.0479
0.0250,0.0472,0.0480,0.0479,0.0479
0.0500,0.0475,0.0483,0.0482,0.0482
0.0750,0.0481,0.0488,0.0487,0.0487
0.1000,0.0489,0.0496,0.0496,0.0496
0.1250,0.0500,0.0506,0.0506,0.0506
0.1500,0.0514,0.0520,0.0519,0.0519
0.1750,0.0531,0.0536,0.0536,0.0536
0.2000,0.0550,0.0556,0.0556,0.0556
0.2250,0.0576,0.0580,0.0579,0.0579
0.2500,0.0604,0.0609,0.0609,0.0608
0.2750,0.0635,0.0639,0.0638,0.0639
0.3000,0.0670,0.0675,0.0676,0.0675
0.3250,0.0713,0.0717,0.0716,0.0715
0.3500,0.0760,0.0763,0.0762,0.0764
0.3750,0.0812,0.0817,0.0812,0.0815
0.4000,0.0871,0.0873,0.0871,0.0872
0.4250,0.0933,0.0934,0.0934,0.0934
0.4500,0.1000,0.1005,0.1006,0.1005
0.4750,0.1078,0.1078,0.1077,0.1082
0.5000,0.1158,0.1167,0.1159,0.1169
0.5250,0.1252,0.1258,0.1256,0.1257
0.5500,0.1350,0.1349,0.1351,0.1358
0.5750,0.1476,0.1471,0.1465,0.1485
0.6000,0.1586,0.1598,0.1592,0.1611
0.6250,0.1771,0.1772,0.1774,0.1794
0.6500,0.1914,0.1920,0.1919,0.1970
0.6750,0.2130,0.2157,0.2145,0.2211
0.7000,0.2335,0.2352,0.2352,0.2442
0.7250,0.2568,0.2582,0.2581,0.2717
0.7500,0.2805,0.2824,0.2854,0.2985
0.7750,0.3053,0.3078,0.3089,0.3269
0.8000,0.3245,0.3280,0.3301,0.3517
0.8250,0.3425,0.3446,0.3456,0.3719
0.8500,0.3556,0.3592,0.3619,0.3911
0.8750,0.3679,0.3711,0.3751,0.4051
0.9000,0.3788,0.3815,0.3849,0.4146
0.9250,0.3880,0.3909,0.3940,0.4214
0.9500,0.3976,0.4005,0.4037,0.4289
0.9750,0.4086,0.4111,0.4139,0.4379
1.0000,0.4189,0.4207,0.4228,0.4488
1.0250,0.4291,0.4307,0.4316,0.4585
1.0500,0.4384,0.4395,0.4410,0.4671
1.0750,0.4500,0.4499,0.4521,0.4772
1.1000,0.4584,0.4590,0.4601,0.4879
1.1250,0.4669,0.4680,0.4676,0.4981
1.1500,0.4746,0.4766,0.4760,0.5101
1.1750,0.4849,0.4873,0.4873,0.5202
1.2000,0.4997,0.5014,0.5025,0.5311
1.2250,0.5184,0.5169,0.5184,0.5381
1.2500,0.5286,0.5276,0.5290,0.4963
1.2750,0.5699,0.5662,0.5594,0.5339
1.3000,0.5699,,,
1.3250,0.5699,0.5662,0.5594,0.5339
1.3500,0.5783,0.5662,0.5594,0.5339
1.3750,0.5868,0.5748,0.5632,0.5661
1.4000,0.5868,,,
1.4250,0.5885,0.5873,0.5827,0.6303
1.4500,0.5863,0.5851,0.5784,0.6254
1.4750,0.5798,0.5764,0.5687,0.6167
1.5000,0.5666,0.5632,0.5539,0.6025
1.5250,0.5545,0.5495,0.5406,0.5821
1.5500,0.5419,0.5367,0.5309,0.5638
1.5750,0.5297,0.5241,0.5218,0.5529
1.6000,0.5191,0.5144,0.5117,0.5442
1.6250,0.5088,0.5059,0.5031,0.5308
1.6500,0.4986,0.4963,0.4943,0.5190
1.6750,0.4856,0.4876,0.4857,0.5079
1.7000,0.4749,0.4783,0.4759,0.4944
1.7250,0.4615,0.4664,0.4658,0.4808
1.7500,0.4512,0.4553,0.4548,0.4667
1.7750,0.4356,0.4383,0.4365,0.4490
1.8000,0.4175,0.4239,0.4220,0.4352
1.8250,0.4013,0.4050,0.4043,0.4171
1.8500,0.3806,0.3867,0.3860,0.4018
1.8750,0.3624,0.3665,0.3669,0.3850
1.9000,0.3459,0.3497,0.3493,0.3667
1.9250,0.3294,0.3336,0.3346,0.3479
1.9500,0.3182,0.3206,0.3170,0.3346
1.9750,0.3064,0.3067,0.3036,0.3172
2.0000,0.2994,0.3002,0.2955,0.3064
