# Kreplin & Eckelmann 1979, renormalized, digitized from KMM 1987 fig.7
component,y+,rms+
u,0.76,0.2503
u,0.90,0.3481
u,1.04,0.4459
u,2.00,0.4733
u,2.56,0.6688
u,3.59,1.0482
u,4.42,1.4316
u,5.39,1.7132
u,6.29,1.9948
u,8.36,2.4211
u,10.50,2.5815
u,12.57,2.6754
u,14.58,2.6832
u,16.65,2.6597
u,18.79,2.5932
u,20.86,2.5306
u,24.39,2.3742
u,32.47,2.1473
u,40.48,2.0026
u,48.64,1.8501
u,60.66,1.6741
u,72.75,1.5411
v,3.52,0.1565
v,4.63,0.2112
v,5.53,0.2777
v,6.63,0.3051
v,8.70,0.3755
v,10.85,0.4498
v,16.99,0.5828
v,19.07,0.6336
v,21.14,0.6923
v,24.46,0.8253
v,32.68,0.9231
v,40.69,0.9700
v,48.77,0.9700
v,60.73,0.9544
v,72.75,0.9583
w,3.45,0.5280
w,4.49,0.6845
w,5.53,0.8096
w,6.56,0.9035
w,8.57,1.0248
w,10.78,1.0756
w,12.71,1.1343
w,14.78,1.1421
w,16.86,1.1538
w,19.00,1.1538
w,21.07,1.1460
w,24.53,1.1382
w,32.68,1.1226
w,40.69,1.0209
w,48.84,1.0287
w,60.86,1.0130
w,72.75,1.0052
