dt,a_mass,kappa_p,tag,cg_its,cg_calls,its_per_call,its_per_step,wall_s
1,1.5,0,off,245431,200,1227.2,6135.8,132.8
1,1.5,0.75,half,209097,200,1045.5,5227.4,114.9
1,1.5,1.5,match,168630,200,843.1,4215.8,93.5
0.5,3,0,off,166408,200,832.0,4160.2,91.5
0.5,3,1.5,half,113529,200,567.6,2838.2,64.3
0.5,3,3,match,88068,200,440.3,2201.7,50.9
0.25,6,0,off,138098,200,690.5,3452.4,76.6
0.25,6,3,half,67343,200,336.7,1683.6,39.6
0.25,6,6,match,45491,200,227.5,1137.3,27.9
0.1,15,0,off,195245,200,976.2,4881.1,106.7
0.1,15,7.5,half,29014,200,145.1,725.4,19.1
0.1,15,15,match,19381,200,96.9,484.5,13.8
0.05,30,0,off,275791,200,1379.0,6894.8,148.3
0.05,30,15,half,14879,200,74.4,372.0,10.9
0.05,30,30,match,10026,200,50.1,250.7,8.2
