dt,a_mass,kappa_p,kfrac,steps,cg_its,wall_s,dp_final,du_final,cg_to_dp_1e-4,wall_to_dp_1e-4,cg_to_dp_1e-6,wall_to_dp_1e-6
0.25,6,0,off,300,1070937,543.3,1.930e-11,9.159e-11,351901,178.3,355627,180.2
0.25,6,1.5,0.25,300,740343,388.8,3.309e-11,9.078e-11,266052,140.0,268490,141.3
0.25,6,3,0.5,300,536932,289.3,4.508e-11,8.216e-11,187479,100.5,189289,101.5
0.25,6,6,1,300,368711,207.0,3.305e-11,8.029e-11,124308,69.7,125575,70.4
0.25,6,12,2,300,358179,201.3,2.188e-11,8.661e-11,113122,63.4,115635,64.8
0.05,30,0,off,300,2345907,1158.0,2.539e-04,1.317e-03,nan,nan,nan,nan
0.05,30,7.5,0.25,300,224885,135.3,2.425e-04,1.315e-03,nan,nan,nan,nan
0.05,30,15,0.5,300,118008,83.0,2.102e-04,1.306e-03,nan,nan,nan,nan
0.05,30,30,1,300,78669,63.0,1.876e-04,1.322e-03,nan,nan,nan,nan
0.05,30,60,2,300,67117,56.5,3.026e-04,1.289e-03,nan,nan,nan,nan
