Checking reattachment...
x=0.0424, tau=1.0042e-01
x=0.1328, tau=4.8389e-02
x=0.2500, tau=-6.2654e-02
x=0.3672, tau=-1.5625e-01
x=0.4576, tau=-2.2155e-01
x=0.5000, tau=-2.5210e-01
x=0.5000, tau=-2.5210e-01
x=0.5424, tau=-2.8299e-01
x=0.6328, tau=-3.5525e-01
x=0.7500, tau=-4.5601e-01
x=0.8672, tau=-5.6451e-01
x=0.9576, tau=-6.4804e-01
x=1.0000, tau=-6.8526e-01
x=1.0000, tau=-6.8526e-01
x=1.0424, tau=-7.2120e-01
x=1.1328, tau=-7.8908e-01
x=1.2500, tau=-8.5416e-01
x=1.3672, tau=-8.8841e-01
x=1.4576, tau=-8.9278e-01
x=1.5000, tau=-8.8857e-01
x=1.5000, tau=-8.8857e-01
x=1.5424, tau=-8.8059e-01
x=1.6328, tau=-8.5215e-01
x=1.7500, tau=-7.9533e-01
x=1.8672, tau=-7.2024e-01
x=1.9576, tau=-6.5209e-01
x=2.0000, tau=-6.1734e-01
x=2.0000, tau=-6.1734e-01
x=2.0424, tau=-5.8098e-01
x=2.1328, tau=-4.9851e-01
x=2.2500, tau=-3.8216e-01
x=2.3672, tau=-2.5652e-01
x=2.4576, tau=-1.5417e-01
x=2.5000, tau=-1.0457e-01
x=2.5000, tau=-1.0457e-01
x=2.5424, tau=-5.4035e-02
x=2.6328, tau=5.6686e-02
x=2.7500, tau=2.0741e-01
x=2.8672, tau=3.6806e-01
x=2.9576, tau=5.0046e-01
x=3.0000, tau=5.6566e-01
x=3.0000, tau=5.6566e-01
x=3.0424, tau=6.3293e-01
x=3.1328, tau=7.8337e-01
x=3.2500, tau=9.9328e-01
x=3.3672, tau=1.2179e+00
x=3.4576, tau=1.3980e+00
x=3.5000, tau=1.4838e+00
x=3.5000, tau=1.4838e+00
x=3.5424, tau=1.5697e+00
x=3.6328, tau=1.7516e+00
x=3.7500, tau=1.9801e+00
x=3.8672, tau=2.1934e+00
x=3.9576, tau=2.3441e+00
x=4.0000, tau=2.4104e+00
x=4.0000, tau=2.4104e+00
x=4.0424, tau=2.4736e+00
x=4.1328, tau=2.5985e+00
x=4.2500, tau=2.7422e+00
x=4.3672, tau=2.8692e+00
x=4.4576, tau=2.9589e+00
x=4.5000, tau=2.9995e+00
x=4.5000, tau=2.9995e+00
x=4.5424, tau=3.0395e+00
x=4.6328, tau=3.1236e+00
x=4.7500, tau=3.2333e+00
x=4.8672, tau=3.3464e+00
x=4.9576, tau=3.4364e+00
x=5.0000, tau=3.4795e+00
x=5.0000, tau=3.4795e+00
x=5.0424, tau=3.5230e+00
x=5.1328, tau=3.6164e+00
x=5.2500, tau=3.7376e+00
x=5.3672, tau=3.8557e+00
x=5.4576, tau=3.9428e+00
x=5.5000, tau=3.9822e+00
x=5.5000, tau=3.9822e+00
x=5.5424, tau=4.0206e+00
x=5.6328, tau=4.0982e+00
x=5.7500, tau=4.1908e+00
x=5.8672, tau=4.2742e+00
x=5.9576, tau=4.3329e+00
x=6.0000, tau=4.3589e+00
x=6.0000, tau=4.3589e+00
x=6.0424, tau=4.3841e+00
x=6.1328, tau=4.4352e+00
x=6.2500, tau=4.4973e+00
x=6.3672, tau=4.5558e+00
x=6.4576, tau=4.5991e+00
x=6.5000, tau=4.6191e+00
x=6.5000, tau=4.6191e+00
x=6.5424, tau=4.6388e+00
x=6.6328, tau=4.6800e+00
x=6.7500, tau=4.7323e+00
x=6.8672, tau=4.7835e+00
x=6.9576, tau=4.8226e+00
x=7.0000, tau=4.8408e+00
x=7.0000, tau=4.8408e+00
x=7.0424, tau=4.8591e+00
x=7.1328, tau=4.8981e+00
x=7.2500, tau=4.9494e+00
x=7.3672, tau=5.0021e+00
x=7.4576, tau=5.0439e+00
x=7.5000, tau=5.0640e+00
x=7.5000, tau=5.0640e+00
x=7.5424, tau=5.0843e+00
x=7.6328, tau=5.1283e+00
x=7.7500, tau=5.1866e+00
x=7.8672, tau=5.2453e+00
x=7.9576, tau=5.2901e+00
x=8.0000, tau=5.3107e+00
x=8.0000, tau=5.3107e+00
x=8.0424, tau=5.3310e+00
x=8.1328, tau=5.3728e+00
x=8.2500, tau=5.4230e+00
x=8.3672, tau=5.4678e+00
x=8.4576, tau=5.4982e+00
x=8.5000, tau=5.5112e+00
x=8.5000, tau=5.5112e+00
x=8.5424, tau=5.5234e+00
x=8.6328, tau=5.5469e+00
x=8.7500, tau=5.5729e+00
x=8.8672, tau=5.5950e+00
x=8.9576, tau=5.6106e+00
x=9.0000, tau=5.6177e+00
x=9.0000, tau=5.6177e+00
x=9.0424, tau=5.6248e+00
x=9.1328, tau=5.6405e+00
x=9.2500, tau=5.6626e+00
x=9.3672, tau=5.6882e+00
x=9.4576, tau=5.7108e+00
x=9.5000, tau=5.7224e+00
x=9.5000, tau=5.7224e+00
x=9.5424, tau=5.7345e+00
x=9.6328, tau=5.7621e+00
x=9.7500, tau=5.8011e+00
x=9.8672, tau=5.8427e+00
x=9.9576, tau=5.8757e+00
x=10.0000, tau=5.8912e+00
x=10.0000, tau=5.8912e+00
x=10.0424, tau=5.9067e+00
x=10.1328, tau=5.9391e+00
x=10.2500, tau=5.9792e+00
x=10.3672, tau=6.0161e+00
x=10.4576, tau=6.0420e+00
x=10.5000, tau=6.0533e+00
x=10.5000, tau=6.0533e+00
x=10.5424, tau=6.0641e+00
x=10.6328, tau=6.0853e+00
x=10.7500, tau=6.1093e+00
x=10.8672, tau=6.1301e+00
x=10.9576, tau=6.1443e+00
x=11.0000, tau=6.1506e+00
x=11.0000, tau=6.1506e+00
x=11.0424, tau=6.1566e+00
x=11.1328, tau=6.1690e+00
x=11.2500, tau=6.1846e+00
x=11.3672, tau=6.2002e+00
x=11.4576, tau=6.2127e+00
x=11.5000, tau=6.2188e+00
x=11.5000, tau=6.2188e+00
x=11.5424, tau=6.2249e+00
x=11.6328, tau=6.2385e+00
x=11.7500, tau=6.2571e+00
x=11.8672, tau=6.2766e+00
x=11.9576, tau=6.2920e+00
x=12.0000, tau=6.2994e+00
x=12.0000, tau=6.2994e+00
x=12.0424, tau=6.3068e+00
x=12.1328, tau=6.3225e+00
x=12.2500, tau=6.3427e+00
x=12.3672, tau=6.3622e+00
x=12.4576, tau=6.3765e+00
x=12.5000, tau=6.3830e+00
x=12.5000, tau=6.3830e+00
x=12.5424, tau=6.3893e+00
x=12.6328, tau=6.4021e+00
x=12.7500, tau=6.4172e+00
x=12.8672, tau=6.4306e+00
x=12.9576, tau=6.4397e+00
x=13.0000, tau=6.4436e+00
x=13.0000, tau=6.4436e+00
x=13.0424, tau=6.4472e+00
x=13.1328, tau=6.4542e+00
x=13.2500, tau=6.4616e+00
x=13.3672, tau=6.4673e+00
x=13.4576, tau=6.4706e+00
x=13.5000, tau=6.4719e+00
x=13.5000, tau=6.4719e+00
x=13.5424, tau=6.4730e+00
x=13.6328, tau=6.4746e+00
x=13.7500, tau=6.4754e+00
x=13.8672, tau=6.4749e+00
x=13.9576, tau=6.4739e+00
x=14.0000, tau=6.4731e+00
x=14.0000, tau=6.4731e+00
x=14.0424, tau=6.4722e+00
x=14.1328, tau=6.4699e+00
x=14.2500, tau=6.4659e+00
x=14.3672, tau=6.4608e+00
x=14.4576, tau=6.4560e+00
x=14.5000, tau=6.4535e+00
x=14.5000, tau=6.4535e+00
x=14.5424, tau=6.4508e+00
x=14.6328, tau=6.4445e+00
x=14.7500, tau=6.4353e+00
x=14.8672, tau=6.4248e+00
x=14.9576, tau=6.4160e+00
